name,skills,interests,level
David0,python computer vision,automation,advanced
Vikram1,cloud computing java machine learning nlp,web development,beginner
Priya2,machine learning data science,full stack automation blockchain,intermediate
Grace3,nlp cloud computing computer vision,iot data analytics,advanced
Ivy4,spring boot cyber security,blockchain,intermediate
Charlie5,data science computer vision cyber security cloud computing,web development,intermediate
Zara6,nlp deep learning cloud computing python,gaming mobile apps,intermediate
Uma7,deep learning computer vision cyber security,robotics,advanced
Henry8,java deep learning,iot automation,beginner
Priya9,react cloud computing,mobile apps automation gaming,advanced
Jack10,nodejs deep learning machine learning,data analytics robotics,advanced
Latha11,nodejs spring boot computer vision cloud computing,blockchain,advanced
Priya12,cloud computing deep learning,data analytics,beginner
Yamini13,python cloud computing,mobile apps data analytics gaming,intermediate
Bob14,machine learning deep learning computer vision,automation blockchain robotics,intermediate
Uma15,react cyber security,ai research robotics,intermediate
Jack16,react data science nlp nodejs,full stack iot robotics,advanced
Charlie17,computer vision cloud computing spring boot deep learning,gaming,advanced
Kiran18,nodejs nlp,iot,intermediate
Jack19,nodejs java,blockchain data analytics,beginner
Eva20,computer vision react python,robotics iot,beginner
Sneha21,machine learning java nodejs spring boot,full stack,advanced
Latha22,nodejs python,data analytics blockchain automation,beginner
Grace23,cloud computing java deep learning,web development,beginner
Frank24,machine learning nlp,data analytics full stack,advanced
Frank25,java nodejs,mobile apps ai research,beginner
Kiran26,spring boot cyber security machine learning nlp,data analytics iot,advanced
Nina27,python cloud computing nlp,iot data analytics blockchain,advanced
Alice28,nlp machine learning,mobile apps iot,intermediate
Grace29,cyber security data science computer vision,gaming ai research,intermediate
David30,spring boot nlp,robotics mobile apps,intermediate
Latha31,cyber security python react,ai research,intermediate
Grace32,java data science nodejs,ai research,intermediate
Omar33,nlp cyber security nodejs,gaming blockchain,advanced
Jack34,nodejs java react python,full stack gaming,advanced
Charlie35,cloud computing java,ai research web development,beginner
Rahul36,computer vision nodejs,blockchain,advanced
Vikram37,java data science machine learning computer vision,gaming,advanced
Yamini38,machine learning nlp spring boot,iot blockchain gaming,intermediate
Xavier39,react spring boot,ai research mobile apps gaming,intermediate
Bob40,nodejs deep learning,automation,intermediate
Vikram41,cloud computing java react machine learning,mobile apps,advanced
David42,spring boot nlp,data analytics,intermediate
Uma43,deep learning nlp java nodejs,ai research web development iot,beginner
Ivy44,computer vision machine learning,automation,advanced
Charlie45,python nlp computer vision,ai research blockchain gaming,advanced
Priya46,java data science,automation ai research,advanced
Grace47,deep learning java cloud computing nodejs,automation gaming data analytics,beginner
Sneha48,cloud computing cyber security,robotics data analytics,intermediate
Tarun49,computer vision nlp data science,automation mobile apps robotics,beginner
Nina50,react cyber security,ai research web development,advanced
Rahul51,java computer vision,automation gaming,advanced
Ivy52,nodejs cyber security python data science,web development gaming full stack,intermediate
Jack53,deep learning cloud computing,robotics iot mobile apps,intermediate
Charlie54,deep learning spring boot,iot,beginner
Latha55,cloud computing computer vision,robotics full stack web development,advanced
Nina56,python computer vision deep learning data science,full stack,beginner
Bob57,cyber security cloud computing data science deep learning,robotics web development data analytics,advanced
Xavier58,nodejs java,full stack blockchain,intermediate
Grace59,nlp cloud computing spring boot,data analytics blockchain,advanced
Frank60,cyber security nlp deep learning data science,blockchain automation,beginner
Zara61,data science spring boot java,web development gaming mobile apps,intermediate
Rahul62,spring boot machine learning,gaming iot robotics,intermediate
Jack63,computer vision react,mobile apps web development,beginner
Eva64,nodejs deep learning,blockchain data analytics mobile apps,intermediate
Charlie65,cyber security java nlp machine learning,ai research web development,advanced
Kiran66,deep learning spring boot,full stack robotics,beginner
Tarun67,java spring boot computer vision,mobile apps automation robotics,intermediate
Frank68,cyber security deep learning spring boot,iot gaming,advanced
Uma69,cloud computing react nodejs java,automation,beginner
Kiran70,spring boot data science computer vision nodejs,blockchain gaming automation,intermediate
Eva71,python react,gaming data analytics,advanced
Vikram72,nodejs nlp react cyber security,ai research gaming iot,intermediate
Bob73,java cyber security deep learning,web development,beginner
Rahul74,cyber security data science,web development blockchain data analytics,intermediate
Bob75,machine learning cloud computing nlp,blockchain,intermediate
Kiran76,computer vision python nodejs java,web development,advanced
Latha77,cloud computing python,automation gaming robotics,advanced
Bob78,cloud computing machine learning react,ai research iot,advanced
Ivy79,nlp python,gaming,beginner
Jack80,react spring boot,automation data analytics,advanced
Bob81,cyber security nodejs spring boot computer vision,blockchain robotics mobile apps,beginner
Grace82,cyber security deep learning react cloud computing,mobile apps gaming,beginner
Nina83,spring boot python,web development full stack,beginner
Waseem84,react java nlp,robotics blockchain,advanced
Charlie85,nlp computer vision,mobile apps gaming data analytics,beginner
Latha86,python computer vision machine learning,ai research blockchain,beginner
Zara87,nlp nodejs java,automation robotics gaming,beginner
Ivy88,spring boot machine learning react,mobile apps blockchain,advanced
Alice89,cloud computing java deep learning,full stack data analytics,intermediate
Eva90,deep learning cloud computing,gaming data analytics full stack,intermediate
Bob91,cloud computing data science react machine learning,web development gaming iot,intermediate
Kiran92,nodejs computer vision react,blockchain mobile apps,advanced
Tarun93,data science deep learning,gaming,intermediate
Nina94,cyber security java,iot gaming web development,intermediate
Zara95,cyber security python,blockchain mobile apps,advanced
Nina96,deep learning spring boot computer vision python,robotics iot mobile apps,intermediate
Tarun97,cloud computing computer vision cyber security machine learning,full stack blockchain,beginner
Grace98,deep learning machine learning cyber security,full stack iot,advanced
Alice99,spring boot machine learning react,iot,beginner
Manoj100,cloud computing nodejs,full stack data analytics,beginner
Nina101,data science deep learning spring boot nodejs,data analytics full stack,beginner
Waseem102,cloud computing cyber security,ai research,intermediate
Tarun103,nodejs cyber security python cloud computing,mobile apps iot blockchain,beginner
Vikram104,python nlp,full stack,beginner
Eva105,deep learning computer vision,automation,advanced
Waseem106,python react java cloud computing,web development iot,beginner
Waseem107,cyber security data science,automation mobile apps,intermediate
Xavier108,cloud computing nodejs cyber security,iot web development full stack,advanced
Omar109,nlp computer vision,robotics,advanced
Yamini110,computer vision cloud computing deep learning nlp,blockchain,beginner
Uma111,react java python,blockchain web development,advanced
Jack112,python deep learning java,robotics automation,intermediate
Yamini113,data science machine learning nodejs python,automation full stack,advanced
Eva114,deep learning nlp data science cyber security,iot,intermediate
Jack115,cyber security nodejs nlp computer vision,ai research data analytics,beginner
Bob116,java data science react,ai research web development automation,advanced
Henry117,cyber security python cloud computing,mobile apps iot gaming,intermediate
Jack118,computer vision cyber security cloud computing deep learning,web development iot data analytics,intermediate
Bob119,cyber security cloud computing machine learning,blockchain full stack iot,beginner
Yamini120,spring boot data science nodejs react,automation robotics,beginner
Sneha121,cyber security nlp,gaming automation,intermediate
Zara122,computer vision cyber security,blockchain,advanced
Nina123,cyber security nlp,web development blockchain,advanced
Manoj124,nlp python nodejs data science,gaming robotics,advanced
Ivy125,cyber security nlp computer vision,data analytics web development mobile apps,advanced
Yamini126,react nodejs,iot automation data analytics,beginner
Xavier127,spring boot cyber security computer vision cloud computing,robotics,beginner
David128,deep learning java,data analytics,advanced
Grace129,react java cyber security spring boot,mobile apps,intermediate
Bob130,nodejs java computer vision,data analytics,intermediate
Priya131,deep learning react,full stack ai research robotics,beginner
Xavier132,react data science,gaming data analytics robotics,advanced
Frank133,nlp java react cyber security,data analytics,beginner
Xavier134,java react,ai research,advanced
Uma135,cyber security java cloud computing spring boot,gaming blockchain web development,intermediate
Nina136,data science spring boot cyber security,full stack blockchain automation,intermediate
Priya137,java computer vision machine learning deep learning,mobile apps full stack,beginner
Eva138,deep learning java,ai research blockchain,advanced
Frank139,react java machine learning,data analytics,beginner
Charlie140,data science computer vision spring boot cloud computing,data analytics ai research automation,advanced
Omar141,deep learning react spring boot java,robotics,intermediate
Eva142,nlp data science nodejs deep learning,mobile apps full stack,intermediate
Alice143,deep learning spring boot cloud computing,data analytics mobile apps,advanced
Ivy144,cloud computing nlp machine learning deep learning,iot,beginner
Zara145,react data science cyber security nlp,web development,intermediate
Priya146,python cyber security cloud computing nlp,blockchain robotics full stack,intermediate
Manoj147,cloud computing python machine learning,iot,beginner
Yamini148,cyber security deep learning python nodejs,ai research,beginner
Alice149,cyber security python,full stack blockchain,beginner
Henry150,cyber security spring boot,mobile apps automation gaming,intermediate
Tarun151,nlp deep learning,mobile apps,intermediate
Latha152,react cloud computing,automation,beginner
Grace153,spring boot data science,robotics,beginner
Priya154,computer vision nlp data science machine learning,web development ai research,advanced
Sneha155,spring boot cyber security,automation iot blockchain,beginner
Henry156,python cyber security,blockchain automation,beginner
Nina157,python data science spring boot,ai research mobile apps,advanced
Bob158,deep learning cyber security react spring boot,data analytics,advanced
Uma159,computer vision deep learning,mobile apps automation web development,beginner
Latha160,cyber security react,web development iot,intermediate
Xavier161,cyber security nlp nodejs computer vision,data analytics ai research web development,beginner
Manoj162,deep learning cloud computing,robotics full stack,advanced
Nina163,react data science cyber security,robotics ai research mobile apps,advanced
Omar164,nlp java spring boot,robotics full stack,advanced
Waseem165,nodejs react java python,web development,advanced
Waseem166,react java cyber security deep learning,ai research,beginner
Frank167,java cyber security,web development,beginner
Grace168,deep learning computer vision cyber security nodejs,iot automation web development,advanced
Zara169,data science nodejs cloud computing,blockchain web development,intermediate
Jack170,react nlp cyber security python,blockchain robotics,advanced
Charlie171,cyber security machine learning computer vision cloud computing,iot gaming blockchain,intermediate
Frank172,python computer vision,robotics iot,advanced
Nina173,react computer vision,automation gaming data analytics,advanced
Uma174,nodejs data science deep learning,data analytics gaming,advanced
Bob175,computer vision react cloud computing nlp,web development,beginner
Uma176,react cloud computing,automation,beginner
Uma177,computer vision machine learning,full stack automation blockchain,intermediate
Priya178,cyber security deep learning nodejs,automation,beginner
Tarun179,computer vision nodejs,full stack robotics ai research,advanced
Uma180,nlp deep learning react,robotics data analytics blockchain,intermediate
Frank181,react nodejs machine learning,mobile apps,advanced
Waseem182,cloud computing deep learning,automation blockchain full stack,beginner
Sneha183,react nlp python,automation gaming,intermediate
David184,react deep learning cloud computing computer vision,web development data analytics,advanced
Charlie185,cyber security react python,gaming automation,advanced
Alice186,data science computer vision react,ai research blockchain data analytics,intermediate
Latha187,data science java python,gaming,advanced
Rahul188,cyber security cloud computing computer vision,automation iot mobile apps,beginner
Bob189,nodejs java nlp cyber security,mobile apps blockchain ai research,beginner
Henry190,deep learning react data science,web development,intermediate
Eva191,nlp machine learning,web development data analytics blockchain,beginner
Alice192,deep learning machine learning spring boot,full stack ai research,beginner
Grace193,machine learning cyber security python,iot blockchain robotics,advanced
Omar194,java deep learning cyber security machine learning,full stack data analytics ai research,intermediate
Kiran195,deep learning nodejs react java,ai research iot web development,beginner
Henry196,nodejs python machine learning java,full stack robotics gaming,beginner
Henry197,nodejs machine learning python,mobile apps,beginner
Alice198,nlp machine learning,web development gaming,advanced
David199,cyber security deep learning computer vision cloud computing,full stack,beginner
Alice200,react cloud computing,robotics blockchain ai research,advanced
Alice201,java spring boot nodejs python,mobile apps ai research,advanced
Eva202,computer vision spring boot java machine learning,mobile apps,beginner
Nina203,react spring boot deep learning,data analytics blockchain automation,beginner
Latha204,react python nodejs,robotics mobile apps data analytics,advanced
Uma205,nlp machine learning cloud computing,iot,intermediate
Vikram206,deep learning python nodejs spring boot,iot web development ai research,beginner
Uma207,cyber security cloud computing machine learning spring boot,automation full stack iot,intermediate
Uma208,data science computer vision machine learning python,automation,intermediate
Eva209,java machine learning python computer vision,ai research,intermediate
Nina210,python data science,data analytics,advanced
Vikram211,react deep learning,robotics,advanced
Uma212,nodejs deep learning,data analytics blockchain full stack,intermediate
Kiran213,computer vision python,robotics web development ai research,advanced
Manoj214,java data science react deep learning,web development mobile apps,advanced
Manoj215,nodejs data science spring boot react,full stack mobile apps,beginner
Latha216,java cloud computing computer vision deep learning,web development ai research,advanced
Ivy217,nlp react,full stack ai research iot,advanced
Charlie218,react java data science python,automation,advanced
Zara219,deep learning react cyber security spring boot,automation,advanced
Nina220,python deep learning nodejs cyber security,gaming ai research blockchain,advanced
Vikram221,cloud computing computer vision nlp,robotics full stack iot,advanced
Eva222,java cyber security,automation iot full stack,beginner
Xavier223,python nodejs computer vision,ai research mobile apps gaming,advanced
Grace224,cyber security cloud computing,iot,beginner
Omar225,cyber security react,robotics web development,intermediate
Eva226,nodejs python machine learning,gaming,intermediate
Nina227,computer vision data science cloud computing,data analytics,advanced
Frank228,python java react cyber security,gaming full stack automation,beginner
Waseem229,deep learning java spring boot,ai research robotics,advanced
Rahul230,machine learning deep learning react,robotics gaming,beginner
Priya231,cyber security cloud computing,full stack automation,beginner
Priya232,cloud computing java,gaming data analytics,advanced
Manoj233,spring boot machine learning data science java,iot ai research,beginner
Tarun234,machine learning nodejs deep learning,gaming,advanced
Kiran235,nlp data science,ai research iot automation,advanced
Grace236,react nlp computer vision cloud computing,blockchain,intermediate
Sneha237,java spring boot machine learning,iot,intermediate
Manoj238,computer vision nodejs spring boot,web development,intermediate
Rahul239,spring boot nlp cyber security python,blockchain automation data analytics,intermediate
Sneha240,cloud computing nlp java data science,blockchain,intermediate
Xavier241,data science nodejs,automation,advanced
Manoj242,computer vision react,web development,intermediate
Waseem243,deep learning nodejs computer vision data science,full stack web development,intermediate
Yamini244,machine learning java data science,gaming mobile apps,advanced
Priya245,computer vision python deep learning data science,ai research robotics iot,intermediate
Xavier246,cyber security computer vision react spring boot,automation iot mobile apps,beginner
Vikram247,deep learning cloud computing,mobile apps web development,beginner
Rahul248,machine learning cyber security data science nodejs,web development automation,intermediate
Alice249,cloud computing nodejs data science machine learning,mobile apps web development,advanced
Eva250,react cloud computing nodejs data science,ai research,advanced
Jack251,computer vision spring boot python nlp,web development,beginner
Priya252,nodejs cyber security,iot ai research,intermediate
Tarun253,data science react,full stack web development,advanced
Tarun254,nlp react machine learning,automation,intermediate
Waseem255,cyber security python,blockchain iot,advanced
Grace256,cyber security nodejs,robotics web development,intermediate
Sneha257,nlp deep learning react cloud computing,blockchain,beginner
Ivy258,machine learning data science,web development,beginner
Henry259,spring boot data science nlp cloud computing,robotics automation data analytics,advanced
Yamini260,spring boot data science nodejs,automation data analytics web development,advanced
Alice261,react spring boot,iot data analytics mobile apps,advanced
Henry262,nlp nodejs data science cyber security,web development,intermediate
Grace263,python nodejs,full stack iot automation,intermediate
Alice264,react nlp cloud computing,gaming mobile apps robotics,advanced
Latha265,react python,web development,intermediate
Jack266,deep learning computer vision cloud computing,data analytics gaming,intermediate
Manoj267,react cyber security machine learning,mobile apps iot,beginner
Sneha268,deep learning machine learning cloud computing,full stack,beginner
Rahul269,cyber security machine learning cloud computing,gaming,advanced
Rahul270,machine learning data science react nodejs,gaming,advanced
Nina271,nodejs spring boot react,iot mobile apps,intermediate
Eva272,spring boot cyber security,full stack,intermediate
Omar273,cyber security python java machine learning,ai research mobile apps,intermediate
Yamini274,react python,mobile apps gaming,beginner
Jack275,react machine learning java,full stack,beginner
Henry276,nlp spring boot,mobile apps full stack web development,advanced
Grace277,python data science react nodejs,iot,beginner
Bob278,cyber security nlp deep learning computer vision,mobile apps,intermediate
Henry279,nodejs cyber security,ai research,beginner
Waseem280,data science computer vision,gaming,beginner
Yamini281,java machine learning,web development,beginner
Zara282,data science deep learning,iot automation,intermediate
Ivy283,machine learning java,blockchain data analytics ai research,advanced
Priya284,java deep learning data science nlp,mobile apps data analytics,beginner
Sneha285,cyber security computer vision,mobile apps iot,beginner
Ivy286,spring boot computer vision deep learning data science,blockchain,intermediate
Jack287,data science python,mobile apps,advanced
Tarun288,machine learning cyber security,ai research,intermediate
Priya289,python cyber security,robotics iot,intermediate
Bob290,machine learning nodejs,full stack gaming,advanced
David291,nlp python,iot,beginner
Priya292,computer vision cloud computing nlp,iot web development,beginner
Zara293,machine learning cyber security cloud computing nodejs,automation blockchain full stack,beginner
Latha294,data science computer vision,ai research automation iot,beginner
Xavier295,react deep learning,iot,advanced
Henry296,deep learning python java,mobile apps robotics iot,beginner
Eva297,deep learning cloud computing,ai research automation blockchain,intermediate
Omar298,computer vision machine learning nlp react,gaming robotics,beginner
Uma299,machine learning java nlp,robotics,intermediate
